Profile_Id,Profile_Name,Profile_Link,Designation,Interested_In,No_Of_Citations
469,Rebecca Connolly,https://scholar.google.co.uk/citations?hl=en&user=Nqf72TUAAAAJ,"International Centre for Transformational Entrepreneurship, Coventry University",Social entrepreneurship social transformation transformational entrepreneurship embeddedness social enterprise ,57
470,David Croft,https://scholar.google.co.uk/citations?hl=en&user=zunEm_8AAAAJ,Coventry University,Computational Intelligence ,56
471,Rebecca Fisher,https://scholar.google.co.uk/citations?hl=en&user=M8gIt6EAAAAJ,"Research Assistant, Coventry University",social entrepreneurship social enterprise enterprise education entrepreneurship in Africa ,56
472,Petros-Panagis Filippatos,https://scholar.google.co.uk/citations?hl=en&user=APig48AAAAAJ,PhD student at Coventry University,Materials Science Electrical Engineering ,56
473,Dr Mahshid Yazdi Far,https://scholar.google.co.uk/citations?hl=en&user=Y2f24LAAAAAJ,Coventry University,Structural Design Biomechanics Material ,56
474,Michael Loizou,https://scholar.google.co.uk/citations?hl=en&user=imhDcMYAAAAJ,"Assistant Professor, Coventry University",AR VR Healthcare Culture ,56
475,Rachel Matthews,https://scholar.google.co.uk/citations?hl=en&user=NvwPqlMAAAAJ,Coventry University,provincial press newspapers media history political economy journalism ,55
476,Patricia Sellick,https://scholar.google.co.uk/citations?hl=en&user=xARMbTYAAAAJ,"Senior Research Fellow, Centre for Trust Peace and Social Relations, Coventry University …",Peace building Conflict Transformation Non Violence Youth Minority Rights ,54
477,Senmao Xia,https://scholar.google.co.uk/citations?hl=en&user=R8H5bBYAAAAJ,"Coventry University, UK",Economics of Innovation Entrepreneurship International Business ,54
478,Abhinivesh Beechook,https://scholar.google.co.uk/citations?hl=en&user=B86f3igAAAAJ,"PhD Researcher in Fluid Mechanics, Coventry University",Large-eddy simulation boundary layer transition transition modelling ,53
479,Katrien Steenmans,https://scholar.google.co.uk/citations?hl=en&user=9YC-N9IAAAAJ,Coventry University,circular economy waste law climate finance law ,53
480,Adam Talbot,https://scholar.google.co.uk/citations?hl=en&user=m5gHgVkAAAAJ,"Lecturer in Sport and Event Management, Coventry University",Sociology of Sport Social Movements Human Rights Development Brazil ,53
481,James Griffin,https://scholar.google.co.uk/citations?hl=en&user=Elmasv4AAAAJ,"Lecturer in Mathematics, Coventry University",Algebra Algebraic Topology Geometric Group Theory Operad Theory ,52
482,Alireza Zarei,https://scholar.google.co.uk/citations?hl=en&user=440W9tEAAAAJ,"Coventry Business School, Coventry University",Exchange Rate Determination International Asset Pricing Applied Econometric ,52
483,Athanasios Stamos,https://scholar.google.co.uk/citations?hl=en&user=hEYYDX0AAAAJ,Coventry University,,52
484,Danny McGough,https://scholar.google.co.uk/citations?hl=en&user=WMDCMr4AAAAJ,"Lecturer in BIM, Coventry University",BIM construction building technolgy architecture ,51
485,Masoud Ahmadinia,https://scholar.google.co.uk/citations?hl=en&user=ebL_2e4AAAAJ,PhD student at Coventry University,Carbon Storage Data Analysis Optimisation Sensitivity Analysis Reservoir Modelling and Simulation ,51
486,Jia Shao,https://scholar.google.co.uk/citations?hl=en&user=TqceaL4AAAAJ,Coventry University,Statistics Extreme Value Theory Insurance ,49
487,Manoj Kumar,https://scholar.google.co.uk/citations?hl=en&user=u6ovxmcAAAAJ,"The Royal Society—SERB Newton International Fellow, Coventry University, UK",Disordered Spin systems Non-equilibrium Statistical Physics ,48
488,Hasan Saadi,https://scholar.google.co.uk/citations?hl=en&user=emCFiLkAAAAJ,Coventry University,Pharmacology and Drug Discovery and … Genome ,48
489,Matthew Beedham,https://scholar.google.co.uk/citations?hl=en&user=H-vdCwQAAAAJ,"Deputy Head, Humanities, Coventry University",Discourse Analysis Rhetoric Literary Linguistics Cognitive Linguistics ,47
490,Mahdi Sadri,https://scholar.google.co.uk/citations?hl=en&user=AxZ2et0AAAAJ,"PhD Student, Fluid and Complex Systems Research Centre, Coventry  University, UK",Flow Measurement Multiphase Flow Reservoir Simulation EOR ,46
491,Kojo Sarfo Gyamfi,https://scholar.google.co.uk/citations?hl=en&user=VCHlzrgAAAAJ,"Research Fellow, Coventry University",Classical Machine Learning Neural Networks Wireless Sensor Networks Reinforcement Learning ,46
492,Dr Mark Thorley,https://scholar.google.co.uk/citations?hl=en&user=thDsCXwAAAAJ,Coventry University,,46
493,Christopher Lillington-Martin,https://scholar.google.co.uk/citations?hl=en&user=aV8TfbkAAAAJ,PhD Coventry University,Historiography ,45
494,Lynsey McCulloch,https://scholar.google.co.uk/citations?hl=en&user=fT6wX3oAAAAJ,"Senior Lecturer in English Literature, Coventry University",English Literature Shakespeare Studies Dance Studies ,45
495,Ezechiel Sentama,https://scholar.google.co.uk/citations?hl=en&user=nHrxZc8AAAAJ,"Coventry University, United Kingdom",Peace Conflict Development Reconciliation Resistance ,44
496,Dr Monday Ikhide;   PhD CEng MCIBSE MIET FHEA,https://scholar.google.co.uk/citations?hl=en&user=Tutb5-UAAAAJ,Lecturer ; Coventry University,Power Systems DC Grids Building Services Electrics Protection systems Energy security in Smart Grids of the future ,44
497,Emily Gartshore,https://scholar.google.co.uk/citations?hl=en&user=xtPAfcYAAAAJ,Lecturer at Coventry University and PhD Student UoN,,44
498,Jonathan Dale,https://scholar.google.co.uk/citations?hl=en&user=BTIjo3AAAAAJ,Coventry University,Coastal Geomorphology ,44
499,Robert Smith,https://scholar.google.co.uk/citations?hl=en&user=jtlIy3AAAAAJ,Coventry University,Statebuilding Iraq US Foreign Policy ,44
500,Oliver Barish,https://scholar.google.co.uk/citations?hl=en&user=D6DsIQ0AAAAJ,Coventry University,,43
501,Jonathan Saul,https://scholar.google.co.uk/citations?hl=en&user=Jk1AtpMAAAAJ,"Senior Lecturer of Motorsport Engineering, Coventry University",Powertrain simulation exhaust aftertreatment fluid flow ,43
502,Meghdad Bagheri,https://scholar.google.co.uk/citations?hl=en&user=f9jI_BgAAAAJ,Lecturer in Civil Engineering at Coventry University,civil engineering geotechnical engineering soil mechanics laboratory testing ,43
503,Amirhossein Sadeghian,https://scholar.google.co.uk/citations?hl=en&user=yJt9G5MAAAAJ,"The Institute for Future Transport and Cities (IFTC), Coventry university",Metallurgy Welding Brazing Additive Manufacturing Materials Processing ,43
504,Sarah Kate Merry,https://scholar.google.co.uk/citations?hl=en&user=ElTQVa0AAAAJ,Coventry University,Online friendship online-to-offline lurking social media social networking sites ,42
505,Kamila Kuc,https://scholar.google.co.uk/citations?hl=en&user=E5pDaUsAAAAJ,"Senior Lecturer, Coventry University",Film media literature ,42
